epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.598,3.77356,3.02341,0.94885,0.31714,0.09021,0.06622,0.01879,3.8137,2.27106,0.85404,0.000665679,0.000665679,0.000665679
2,822.387,3.58475,2.01762,0.8383,0.36499,0.14283,0.11215,0.03444,3.53283,1.81626,0.81022,0.00122243,0.00122243,0.00122243
3,1214.35,3.42742,1.88871,0.84392,0.36303,0.12109,0.09445,0.02922,3.54284,1.96652,0.82323,0.00166918,0.00166918,0.00166918
4,1582.84,3.38501,1.78314,0.83125,0.36828,0.13612,0.1117,0.03437,3.5424,1.78932,0.80743,0.001505,0.001505,0.001505
5,2003.25,3.33555,1.73199,0.827,0.41312,0.1536,0.13287,0.04245,3.37432,1.72824,0.80096,0.00134,0.00134,0.00134
6,2408.57,3.26742,1.66472,0.81295,0.36853,0.141,0.11119,0.03414,3.40698,1.86639,0.79976,0.001175,0.001175,0.001175
7,2833.97,3.23599,1.62745,0.80467,0.42731,0.16904,0.14967,0.04593,3.34873,1.61067,0.78698,0.00101,0.00101,0.00101
8,3280.88,3.17701,1.58062,0.80646,0.45915,0.16761,0.15538,0.04903,3.30469,1.56326,0.78524,0.000845,0.000845,0.000845
9,8317.71,3.14501,1.53808,0.80007,0.46732,0.17655,0.16267,0.05364,3.27281,1.55061,0.77883,0.00068,0.00068,0.00068
10,8690.35,3.10749,1.50296,0.79624,0.47003,0.18753,0.1729,0.05951,3.23963,1.52368,0.77838,0.000515,0.000515,0.000515
11,9050.7,3.07357,1.47801,0.79233,0.46145,0.19118,0.17727,0.05868,3.2187,1.51275,0.77759,0.00035,0.00035,0.00035
12,9403.87,3.05746,1.45792,0.78758,0.48282,0.19214,0.1811,0.06289,3.19376,1.50627,0.77399,0.000185,0.000185,0.000185
