epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.181,3.16371,1.55689,0.78769,0.47506,0.17431,0.16284,0.05462,3.297,1.57501,0.77934,0.000665679,0.000665679,0.000665679
2,773.552,3.24062,1.61634,0.79313,0.40922,0.16172,0.13924,0.04257,3.37773,1.67897,0.78658,0.00125907,0.00125907,0.00125907
3,1150.39,3.23458,1.6192,0.79881,0.38832,0.14892,0.12859,0.03966,3.42446,1.85426,0.78254,0.00177912,0.00177912,0.00177912
4,1525.15,3.22784,1.61696,0.79393,0.44522,0.1729,0.1587,0.05128,3.33175,1.62862,0.77988,0.00167,0.00167,0.00167
5,1899.21,3.19343,1.5937,0.79447,0.42486,0.16494,0.14644,0.04507,3.4108,1.65792,0.77645,0.00156,0.00156,0.00156
6,2282.92,3.18633,1.56076,0.78508,0.45379,0.18204,0.1667,0.05377,3.25536,1.58037,0.77383,0.00145,0.00145,0.00145
7,2660.82,3.14508,1.53855,0.78879,0.45876,0.18549,0.16897,0.0563,3.28012,1.55956,0.77125,0.00134,0.00134,0.00134
8,3052.1,3.12847,1.51972,0.78825,0.48874,0.18895,0.17951,0.06015,3.25282,1.57028,0.76784,0.00123,0.00123,0.00123
9,3431.21,3.06637,1.50261,0.79379,0.4951,0.18692,0.17479,0.06205,3.16924,1.52864,0.77403,0.00112,0.00112,0.00112
10,3804.66,3.03625,1.46371,0.78774,0.48017,0.1963,0.18475,0.06155,3.21276,1.47267,0.7699,0.00101,0.00101,0.00101
11,4189.08,3.01588,1.4443,0.78814,0.48336,0.19748,0.18507,0.06461,3.17589,1.47569,0.76861,0.0009,0.0009,0.0009
12,4570.58,2.99224,1.42754,0.78179,0.51121,0.19972,0.1925,0.06588,3.17427,1.47485,0.76501,0.00079,0.00079,0.00079
13,4949.85,2.97466,1.40752,0.78193,0.50138,0.19565,0.18977,0.07072,3.13353,1.49415,0.76606,0.00068,0.00068,0.00068
14,5325.75,2.9499,1.39635,0.77817,0.51177,0.20175,0.19595,0.06942,3.14303,1.45831,0.76309,0.00057,0.00057,0.00057
15,9430.08,2.93171,1.3786,0.77603,0.52623,0.19951,0.19744,0.07229,3.10675,1.44187,0.76346,0.00046,0.00046,0.00046
16,10340.2,2.92688,1.36937,0.77222,0.50416,0.20782,0.20148,0.07331,3.09508,1.41526,0.7613,0.00035,0.00035,0.00035
17,35772.3,2.88633,1.35278,0.7721,0.51641,0.21028,0.20531,0.0734,3.0888,1.41272,0.76286,0.00024,0.00024,0.00024
18,36186.5,2.85605,1.32513,0.77248,0.52086,0.21414,0.20939,0.07501,3.09275,1.39699,0.76236,0.00013,0.00013,0.00013
