epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.974,2.99231,1.41406,0.77025,0.48018,0.19646,0.18871,0.06688,3.16614,1.47258,0.76445,0.000665679,0.000665679,0.000665679
2,733.37,3.06351,1.47124,0.77398,0.43632,0.19545,0.17616,0.05923,3.22719,1.55077,0.76952,0.00128838,0.00128838,0.00128838
3,1095.07,3.06902,1.48618,0.77876,0.53535,0.19504,0.19277,0.06817,3.19284,1.49639,0.76809,0.00186708,0.00186708,0.00186708
4,1450.2,3.08012,1.49605,0.77786,0.43743,0.19626,0.18248,0.0607,3.19905,1.55183,0.77091,0.001802,0.001802,0.001802
5,1800.49,3.07347,1.48886,0.77877,0.44276,0.18726,0.17081,0.05611,3.27067,1.55459,0.77017,0.001736,0.001736,0.001736
6,2161.27,3.06786,1.47053,0.77302,0.43553,0.18427,0.1661,0.056,3.2625,1.66838,0.76772,0.00167,0.00167,0.00167
7,2522.71,3.05007,1.46523,0.77753,0.46359,0.19565,0.18417,0.05957,3.2442,1.53614,0.76085,0.001604,0.001604,0.001604
8,2893.61,3.05047,1.46491,0.77802,0.51826,0.20195,0.19709,0.06908,3.18672,1.45763,0.76177,0.001538,0.001538,0.001538
9,3259.33,3.03188,1.45659,0.77867,0.49593,0.205,0.19537,0.06728,3.15107,1.46099,0.761,0.001472,0.001472,0.001472
10,3621.96,3.03417,1.44481,0.77653,0.49531,0.21292,0.20502,0.07287,3.12092,1.44254,0.75866,0.001406,0.001406,0.001406
11,3981.28,3.00906,1.44261,0.77672,0.46709,0.20639,0.19227,0.06767,3.15026,1.47335,0.76055,0.00134,0.00134,0.00134
12,4345.7,3.03535,1.44681,0.76738,0.49028,0.21007,0.20249,0.07194,3.10291,1.47762,0.75813,0.001274,0.001274,0.001274
13,4708.34,3.00047,1.42415,0.76928,0.50796,0.21109,0.20363,0.07283,3.08865,1.41787,0.7562,0.001208,0.001208,0.001208
14,5068.49,3.00143,1.42244,0.76863,0.48467,0.21719,0.20596,0.07211,3.12662,1.39981,0.76405,0.001142,0.001142,0.001142
15,5420.66,2.96545,1.40407,0.77199,0.50711,0.21739,0.2094,0.07385,3.0796,1.38769,0.75918,0.001076,0.001076,0.001076
16,5773.31,2.98287,1.39337,0.76247,0.50816,0.21902,0.2092,0.07277,3.13678,1.45519,0.75357,0.00101,0.00101,0.00101
17,6126.65,2.96356,1.39041,0.76584,0.51819,0.21658,0.21079,0.07661,3.10002,1.40576,0.75816,0.000944,0.000944,0.000944
18,6485.57,2.93733,1.37691,0.76629,0.49685,0.22166,0.21372,0.07726,3.07374,1.38114,0.75282,0.000878,0.000878,0.000878
19,6841.17,2.93238,1.36271,0.76598,0.51478,0.22029,0.21673,0.07593,3.09452,1.37571,0.75664,0.000812,0.000812,0.000812
20,7199.37,2.91435,1.34854,0.76375,0.52259,0.22751,0.22194,0.07871,3.07239,1.35307,0.7541,0.000746,0.000746,0.000746
21,7547.55,2.89756,1.35342,0.77283,0.49713,0.22194,0.21627,0.07872,3.05028,1.40586,0.75163,0.00068,0.00068,0.00068
22,7896.76,2.85799,1.32051,0.76855,0.48987,0.21942,0.20945,0.07547,3.08792,1.39651,0.76148,0.000614,0.000614,0.000614
23,8231.18,2.86091,1.31802,0.76382,0.50241,0.22442,0.2158,0.08049,3.04425,1.34868,0.75417,0.000548,0.000548,0.000548
24,8592.5,2.83828,1.31247,0.7663,0.50952,0.23111,0.22046,0.08022,3.04595,1.34134,0.7531,0.000482,0.000482,0.000482
25,8953.57,2.83315,1.30027,0.76415,0.51904,0.23202,0.22475,0.08207,3.01901,1.34499,0.75262,0.000416,0.000416,0.000416
26,9311.25,2.83298,1.29451,0.76354,0.52809,0.23019,0.22221,0.08332,3.03367,1.32956,0.75352,0.00035,0.00035,0.00035
27,9666.18,2.80637,1.27734,0.76191,0.50741,0.23344,0.22517,0.08406,3.0165,1.3277,0.7518,0.000284,0.000284,0.000284
28,10024,2.80208,1.27649,0.76225,0.52607,0.23527,0.22824,0.08543,3.02143,1.31374,0.75168,0.000218,0.000218,0.000218
29,10380.9,2.79436,1.26874,0.76306,0.52985,0.23507,0.2293,0.08558,3.00156,1.31693,0.75073,0.000152,0.000152,0.000152
30,10740.7,2.79786,1.26198,0.76204,0.53002,0.23324,0.22717,0.08522,3.01184,1.31242,0.75167,8.6e-05,8.6e-05,8.6e-05
